Booking_ID,User_ID,Car_ID,City,Car_Model,Category,Booking_Date,Rental_Days,Total_Amount,Year,Month,DayOfWeek,Week,Amount_per_Day
1,101,294,Bangalore,Kia Seltos,SUV,2024-01-01,3,14883,2024,2024-01,Monday,2024-01-01/2024-01-07,4961.0
2,113,223,Pune,Swift Dzire,SUV,2024-01-02,3,6927,2024,2024-01,Tuesday,2024-01-01/2024-01-07,2309.0
3,155,202,Bangalore,Kia Seltos,Sedan,2024-01-03,2,11938,2024,2024-01,Wednesday,2024-01-01/2024-01-07,5969.0
4,149,294,Bangalore,Maruti Alto,Sedan,2024-01-04,2,1489,2024,2024-01,Thursday,2024-01-01/2024-01-07,744.5
5,104,278,Mumbai,Maruti Alto,Hatchback,2024-01-05,4,10623,2024,2024-01,Friday,2024-01-01/2024-01-07,2655.75
6,148,282,Bangalore,Tata Nexon,SUV,2024-01-06,9,6989,2024,2024-01,Saturday,2024-01-01/2024-01-07,776.5555555555555
7,180,247,Bangalore,Swift Dzire,SUV,2024-01-07,9,12759,2024,2024-01,Sunday,2024-01-01/2024-01-07,1417.6666666666667
8,138,269,Pune,Maruti Alto,Sedan,2024-01-08,6,11395,2024,2024-01,Monday,2024-01-08/2024-01-14,1899.1666666666667
9,132,284,Pune,Swift Dzire,Hatchback,2024-01-09,9,3193,2024,2024-01,Tuesday,2024-01-08/2024-01-14,354.77777777777777
10,134,247,Mumbai,Swift Dzire,SUV,2024-01-10,7,14513,2024,2024-01,Wednesday,2024-01-08/2024-01-14,2073.285714285714
11,151,211,Bangalore,Hyundai Creta,Hatchback,2024-01-11,1,4042,2024,2024-01,Thursday,2024-01-08/2024-01-14,4042.0
12,194,230,Mumbai,Tata Nexon,Sedan,2024-01-12,3,14527,2024,2024-01,Friday,2024-01-08/2024-01-14,4842.333333333333
13,113,270,Delhi,Swift Dzire,Hatchback,2024-01-13,2,13428,2024,2024-01,Saturday,2024-01-08/2024-01-14,6714.0
14,137,250,Delhi,Swift Dzire,Hatchback,2024-01-14,5,14596,2024,2024-01,Sunday,2024-01-08/2024-01-14,2919.2
15,171,257,Delhi,Maruti Alto,Sedan,2024-01-15,2,7268,2024,2024-01,Monday,2024-01-15/2024-01-21,3634.0
16,124,242,Bangalore,Hyundai Creta,Hatchback,2024-01-16,6,5550,2024,2024-01,Tuesday,2024-01-15/2024-01-21,925.0
17,141,267,Mumbai,Kia Seltos,Sedan,2024-01-17,2,6748,2024,2024-01,Wednesday,2024-01-15/2024-01-21,3374.0
18,197,245,Delhi,Tata Nexon,Hatchback,2024-01-18,1,3157,2024,2024-01,Thursday,2024-01-15/2024-01-21,3157.0
19,193,231,Pune,Maruti Alto,SUV,2024-01-19,5,4399,2024,2024-01,Friday,2024-01-15/2024-01-21,879.8
20,161,204,Bangalore,Tata Nexon,Hatchback,2024-01-20,8,11166,2024,2024-01,Saturday,2024-01-15/2024-01-21,1395.75
21,173,222,Pune,Kia Seltos,Sedan,2024-01-21,6,13075,2024,2024-01,Sunday,2024-01-15/2024-01-21,2179.1666666666665
22,117,243,Mumbai,Swift Dzire,SUV,2024-01-22,8,8886,2024,2024-01,Monday,2024-01-22/2024-01-28,1110.75
23,128,231,Pune,Maruti Alto,Sedan,2024-01-23,5,13584,2024,2024-01,Tuesday,2024-01-22/2024-01-28,2716.8
24,127,279,Pune,Maruti Alto,Hatchback,2024-01-24,9,7317,2024,2024-01,Wednesday,2024-01-22/2024-01-28,813.0
25,192,216,Bangalore,Hyundai Creta,Sedan,2024-01-25,2,9820,2024,2024-01,Thursday,2024-01-22/2024-01-28,4910.0
26,136,222,Bangalore,Hyundai Creta,SUV,2024-01-26,4,4579,2024,2024-01,Friday,2024-01-22/2024-01-28,1144.75
27,134,216,Mumbai,Hyundai Creta,Hatchback,2024-01-27,8,14783,2024,2024-01,Saturday,2024-01-22/2024-01-28,1847.875
28,193,283,Pune,Kia Seltos,SUV,2024-01-28,6,13668,2024,2024-01,Sunday,2024-01-22/2024-01-28,2278.0
29,157,299,Mumbai,Kia Seltos,Sedan,2024-01-29,8,13233,2024,2024-01,Monday,2024-01-29/2024-02-04,1654.125
30,168,233,Pune,Maruti Alto,SUV,2024-01-30,7,8752,2024,2024-01,Tuesday,2024-01-29/2024-02-04,1250.2857142857142
31,123,264,Bangalore,Hyundai Creta,SUV,2024-01-31,1,10905,2024,2024-01,Wednesday,2024-01-29/2024-02-04,10905.0
32,176,278,Pune,Hyundai Creta,SUV,2024-02-01,7,6272,2024,2024-02,Thursday,2024-01-29/2024-02-04,896.0
33,139,291,Delhi,Kia Seltos,Hatchback,2024-02-02,1,5083,2024,2024-02,Friday,2024-01-29/2024-02-04,5083.0
34,183,209,Delhi,Maruti Alto,Sedan,2024-02-03,8,4080,2024,2024-02,Saturday,2024-01-29/2024-02-04,510.0
35,172,231,Delhi,Kia Seltos,SUV,2024-02-04,5,14190,2024,2024-02,Sunday,2024-01-29/2024-02-04,2838.0
36,155,208,Mumbai,Maruti Alto,SUV,2024-02-05,6,9697,2024,2024-02,Monday,2024-02-05/2024-02-11,1616.1666666666667
37,142,225,Mumbai,Kia Seltos,Sedan,2024-02-06,6,1728,2024,2024-02,Tuesday,2024-02-05/2024-02-11,288.0
38,101,222,Bangalore,Kia Seltos,SUV,2024-02-07,1,7988,2024,2024-02,Wednesday,2024-02-05/2024-02-11,7988.0
39,189,212,Bangalore,Hyundai Creta,Sedan,2024-02-08,7,9900,2024,2024-02,Thursday,2024-02-05/2024-02-11,1414.2857142857142
40,152,219,Bangalore,Maruti Alto,Hatchback,2024-02-09,1,13190,2024,2024-02,Friday,2024-02-05/2024-02-11,13190.0
41,178,256,Bangalore,Tata Nexon,Sedan,2024-02-10,4,6326,2024,2024-02,Saturday,2024-02-05/2024-02-11,1581.5
42,189,210,Delhi,Hyundai Creta,Sedan,2024-02-11,3,10572,2024,2024-02,Sunday,2024-02-05/2024-02-11,3524.0
43,142,225,Delhi,Maruti Alto,Sedan,2024-02-12,8,7189,2024,2024-02,Monday,2024-02-12/2024-02-18,898.625
44,135,270,Bangalore,Hyundai Creta,Hatchback,2024-02-13,4,3587,2024,2024-02,Tuesday,2024-02-12/2024-02-18,896.75
45,129,224,Pune,Kia Seltos,Sedan,2024-02-14,3,9685,2024,2024-02,Wednesday,2024-02-12/2024-02-18,3228.3333333333335
46,165,239,Bangalore,Kia Seltos,Hatchback,2024-02-15,1,13371,2024,2024-02,Thursday,2024-02-12/2024-02-18,13371.0
47,153,213,Delhi,Maruti Alto,Sedan,2024-02-16,9,6111,2024,2024-02,Friday,2024-02-12/2024-02-18,679.0
48,128,252,Pune,Maruti Alto,Sedan,2024-02-17,8,6867,2024,2024-02,Saturday,2024-02-12/2024-02-18,858.375
49,142,230,Bangalore,Hyundai Creta,Sedan,2024-02-18,5,11579,2024,2024-02,Sunday,2024-02-12/2024-02-18,2315.8
50,106,283,Bangalore,Kia Seltos,Hatchback,2024-02-19,5,10924,2024,2024-02,Monday,2024-02-19/2024-02-25,2184.8
51,139,232,Pune,Tata Nexon,Sedan,2024-02-20,4,9087,2024,2024-02,Tuesday,2024-02-19/2024-02-25,2271.75
52,117,277,Bangalore,Tata Nexon,SUV,2024-02-21,3,4393,2024,2024-02,Wednesday,2024-02-19/2024-02-25,1464.3333333333333
53,173,291,Bangalore,Kia Seltos,Sedan,2024-02-22,8,7637,2024,2024-02,Thursday,2024-02-19/2024-02-25,954.625
54,133,289,Mumbai,Swift Dzire,SUV,2024-02-23,4,4548,2024,2024-02,Friday,2024-02-19/2024-02-25,1137.0
55,147,299,Pune,Swift Dzire,SUV,2024-02-24,4,3608,2024,2024-02,Saturday,2024-02-19/2024-02-25,902.0
56,175,280,Pune,Tata Nexon,SUV,2024-02-25,8,12721,2024,2024-02,Sunday,2024-02-19/2024-02-25,1590.125
57,161,275,Pune,Kia Seltos,SUV,2024-02-26,7,4579,2024,2024-02,Monday,2024-02-26/2024-03-03,654.1428571428571
58,156,250,Bangalore,Kia Seltos,Sedan,2024-02-27,4,14961,2024,2024-02,Tuesday,2024-02-26/2024-03-03,3740.25
59,150,276,Bangalore,Hyundai Creta,Sedan,2024-02-28,1,6572,2024,2024-02,Wednesday,2024-02-26/2024-03-03,6572.0
60,186,260,Pune,Hyundai Creta,SUV,2024-02-29,9,10310,2024,2024-02,Thursday,2024-02-26/2024-03-03,1145.5555555555557
61,183,293,Delhi,Hyundai Creta,Sedan,2024-03-01,2,7838,2024,2024-03,Friday,2024-02-26/2024-03-03,3919.0
62,113,293,Bangalore,Swift Dzire,SUV,2024-03-02,9,6765,2024,2024-03,Saturday,2024-02-26/2024-03-03,751.6666666666666
63,145,201,Pune,Maruti Alto,Hatchback,2024-03-03,9,2196,2024,2024-03,Sunday,2024-02-26/2024-03-03,244.0
